Date, Open , High , Low , Close , Adj Close , Volume 
2/13/1992," 1,232.61 "," 1,232.61 "," 1,232.61 "," 1,232.61 "," 1,232.29 ", -   
2/14/1992," 1,214.41 "," 1,214.41 "," 1,214.41 "," 1,214.41 "," 1,214.10 ", -   
2/17/1992," 1,191.32 "," 1,191.32 "," 1,191.32 "," 1,191.32 "," 1,191.01 ", -   
2/18/1992," 1,183.58 "," 1,183.58 "," 1,183.58 "," 1,183.58 "," 1,183.28 ", -   
2/19/1992," 1,153.35 "," 1,153.35 "," 1,153.35 "," 1,153.35 "," 1,153.05 ", -   
2/20/1992," 1,147.05 "," 1,147.05 "," 1,147.05 "," 1,147.05 "," 1,146.76 ", -   
2/21/1992," 1,171.61 "," 1,171.61 "," 1,171.61 "," 1,171.61 "," 1,171.31 ", -   
2/24/1992," 1,203.39 "," 1,203.39 "," 1,203.39 "," 1,203.39 "," 1,203.08 ", -   
2/25/1992," 1,222.46 "," 1,222.46 "," 1,222.46 "," 1,222.46 "," 1,222.15 ", -   
2/26/1992," 1,203.14 "," 1,203.14 "," 1,203.14 "," 1,203.14 "," 1,202.83 ", -   
2/27/1992," 1,215.83 "," 1,215.83 "," 1,215.83 "," 1,215.83 "," 1,215.52 ", -   
2/28/1992," 1,197.80 "," 1,197.80 "," 1,197.80 "," 1,197.80 "," 1,197.49 ", -   
3/2/1992," 1,181.16 "," 1,181.16 "," 1,181.16 "," 1,181.16 "," 1,180.86 ", -   
3/3/1992," 1,170.47 "," 1,170.47 "," 1,170.47 "," 1,170.47 "," 1,170.17 ", -   
3/4/1992," 1,171.89 "," 1,171.89 "," 1,171.89 "," 1,171.89 "," 1,171.59 ", -   
3/5/1992," 1,169.29 "," 1,169.29 "," 1,169.29 "," 1,169.29 "," 1,168.99 ", -   
3/6/1992," 1,128.87 "," 1,128.87 "," 1,128.87 "," 1,128.87 "," 1,128.58 ", -   
3/9/1992," 1,117.02 "," 1,117.02 "," 1,117.02 "," 1,117.02 "," 1,116.73 ", -   
3/10/1992," 1,126.38 "," 1,126.38 "," 1,126.38 "," 1,126.38 "," 1,126.09 ", -   
3/11/1992," 1,132.77 "," 1,132.77 "," 1,132.77 "," 1,132.77 "," 1,132.48 ", -   
3/12/1992," 1,134.87 "," 1,134.87 "," 1,134.87 "," 1,134.87 "," 1,134.58 ", -   
3/13/1992," 1,134.14 "," 1,134.14 "," 1,134.14 "," 1,134.14 "," 1,133.85 ", -   
3/16/1992," 1,120.69 "," 1,120.69 "," 1,120.69 "," 1,120.69 "," 1,120.40 ", -   
3/17/1992," 1,097.17 "," 1,097.17 "," 1,097.17 "," 1,097.17 "," 1,096.89 ", -   
3/18/1992," 1,111.48 "," 1,111.48 "," 1,111.48 "," 1,111.48 "," 1,111.19 ", -   
3/19/1992," 1,118.47 "," 1,118.47 "," 1,118.47 "," 1,118.47 "," 1,118.18 ", -   
